feature,human_mean,human_std,detected_mean,detected_std,missed_mean,missed_std,missed_zscore,detected_zscore
Mouse event ratio,0.239046,0.104421,0.021795,0.044094,0.023718,0.007051,2.0621,2.0805
Click event ratio,0.053257,0.020274,0.020188,0.018750,0.016026,0.000641,1.8364,1.6310
Key event ratio,0.399195,0.145173,0.941714,0.079844,0.377500,0.060833,0.1494,3.7370
Scroll event ratio,0.308502,0.211345,0.016303,0.020977,0.582756,0.054423,1.2977,1.3826
Mean mouse speed,0.089587,0.033259,0.000868,0.001705,0.031595,0.021568,1.7436,2.6675
Mouse speed variance,0.024794,0.014481,0.000015,0.000031,0.012110,0.012110,0.8759,1.7111
Mean mouse accel,0.106961,0.043523,0.000191,0.000444,0.034108,0.031214,1.6739,2.4532
Path curvature,0.183967,0.079247,0.019556,0.042822,0.039533,0.014533,1.8226,2.0747
Mean inter-event dt,0.524127,0.086723,0.568966,0.039400,0.414386,0.023607,1.2654,0.5170
Inter-event dt variance,0.034772,0.050871,0.200638,0.081630,0.117735,0.002415,1.6309,3.2605
Min inter-event dt,0.214603,0.052770,0.150227,0.024232,0.157416,0.024968,1.0837,1.2199
Mean click interval,0.269005,0.112573,0.159973,0.118740,0.099169,0.000831,1.5087,0.9685
Click interval variance,0.017892,0.030778,0.068644,0.060966,0.040695,0.036228,0.7409,1.6489
Mean keystroke hold,0.074058,0.042704,0.017625,0.005918,0.009743,0.001562,1.5060,1.3215
Keystroke hold variance,0.005331,0.011853,0.000022,0.000010,0.000014,0.000004,0.4486,0.4479
Mean key-press interval,0.367339,0.139608,0.560227,0.039292,0.213073,0.027561,1.1050,1.3816
Key-press interval variance,0.013800,0.028553,0.203510,0.094113,0.040989,0.006169,0.9522,6.6440
Scroll total distance,0.064375,0.055148,0.016911,0.021268,0.109195,0.043305,0.8127,0.8607
Scroll direction changes,0.010492,0.025449,0.000855,0.002417,0.008846,0.001154,0.0647,0.3787
Unique X positions,0.056193,0.024215,0.009669,0.014547,0.009462,0.002462,1.9298,1.9213
Unique Y positions,0.049178,0.020037,0.008767,0.011623,0.008385,0.002385,2.0359,2.0168
X range,0.132697,0.053514,0.062559,0.044106,0.053909,0.005752,1.4723,1.3106
Y range,0.107907,0.048436,0.055807,0.048906,0.038376,0.018283,1.4355,1.0756
Interactive click ratio,0.593726,0.153987,0.219278,0.249177,0.144872,0.055128,2.9149,2.4317
Window duration,0.705965,0.068265,0.737801,0.030134,0.615663,0.017216,1.3228,0.4664
Event count ratio,0.975393,0.013976,0.959813,0.012604,0.973782,0.012115,0.1153,1.1148
